Occupation,OCC_Code,OCC_Type,2014 Empl,2024 Empl,# Incr,% Incr,SelfEmpl,Grow/Replace,Median Wage,Entry Eduction,Experience,OJT,
"Total, all occupations",00-0000,Summary,"150,539.9","160,328.8","9,788.9",6.5,6.2,"46,506.9","$37,040",—,—,—,
Management occupations,11-0000,Summary,"9,157.5","9,662.9",505.4,5.5,20.3,"2,586.8","$100,790",—,—,—,
Top executives,11-1000,Summary,"2,525.9","2,672.5",146.6,5.8,3.6,760.0,"$102,320",—,—,—,
Wind turbine service technicians,49-9081,Line item,4.4,9.2,4.8,108.0,15.1,5.5,"$52,260","Some college, no degree",None,Long-term on-the-job training,
Occupational therapy assistants,31-2011,Line item,33.0,47.1,14.1,42.7,1.0,23.6,"$59,010",Associate's degree,None,None,
Physical therapist assistants,31-2021,Line item,78.7,110.7,31.9,40.6,1.1,54.7,"$56,610",Associate's degree,None,None,
"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Summary,667.3,710.7,43.4,6.5,2.8,210.7,"$120,420",—,—,—,
Physical therapist aides,31-2022,Line item,50.0,69.5,19.5,39.0,1.1,34.0,"$25,680",High school diploma or equivalent,None,Short-term on-the-job training,
Marketing and sales managers,11-2020,Summary,570.6,607.8,37.3,6.5,3.1,172.2,"$122,930",—,—,—,
Home health aides,31-1011,Line item,913.5,"1,261.9",348.4,38.1,2.2,554.8,"$22,600",No formal educational credential,None,Short-term on-the-job training,
Commercial divers,49-9092,Line item,4.4,6.0,1.6,36.9,14.9,2.3,"$49,090",Postsecondary nondegree award,None,Moderate-term on-the-job training,
Nurse practitioners,29-1171,Line item,126.9,171.7,44.7,35.2,2.0,74.7,"$100,910",Master's degree,None,None,
Operations specialties managers,11-3000,Summary,"1,721.9","1,847.7",125.9,7.3,1.8,499.9,"$112,080",—,—,—,
Physical therapists,29-1123,Line item,210.9,282.7,71.8,34.0,3.5,128.3,"$85,400",Doctoral or professional degree,None,None,
Statisticians,15-2041,Line item,30.0,40.1,10.1,33.8,3.1,15.4,"$80,500",Master's degree,None,None,
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,Line item,19.6,26.1,6.5,33.0,—,9.8,"$23,850",High school diploma or equivalent,None,Moderate-term on-the-job training,
Occupational therapy aides,31-2012,Line item,8.8,11.6,2.7,30.6,1.0,5.3,"$28,330",High school diploma or equivalent,None,Short-term on-the-job training,
Physician assistants,29-1071,Line item,94.4,123.2,28.7,30.4,1.3,50.0,"$101,480",Master's degree,None,None,
Operations research analysts,15-2031,Line item,91.3,118.9,27.6,30.2,0.3,43.9,"$79,200",Bachelor's degree,None,None,
Personal financial advisors,13-2052,Line item,249.4,323.2,73.9,29.6,20.2,136.4,"$90,530",Bachelor's degree,None,Long-term on-the-job training,
Cartographers and photogrammetrists,17-1021,Line item,12.3,15.9,3.6,29.3,2.4,7.4,"$62,750",Bachelor's degree,None,None,
Genetic counselors,29-9092,Line item,2.4,3.1,0.7,28.8,5.3,1.2,"$74,120",Master's degree,None,None,
Other management occupations,11-9000,Summary,"4,242.5","4,431.9",189.5,4.5,40.5,"1,116.2","$87,420",—,—,—,
Interpreters and translators,27-3091,Line item,61.0,78.5,17.5,28.7,17.1,27.2,"$46,120",Bachelor's degree,None,Short-term on-the-job training,
Audiologists,29-1181,Line item,13.2,16.9,3.8,28.6,5.8,6.8,"$75,980",Doctoral or professional degree,None,None,
Education administrators,11-9030,Summary,516.9,551.8,34.9,6.8,4.4,185.2,"$86,950",—,—,—,
Hearing aid specialists,29-2092,Line item,5.9,7.5,1.6,27.2,4.9,2.2,"$50,250",High school diploma or equivalent,None,None,
Optometrists,29-1041,Line item,40.6,51.6,11.0,27.0,16.8,25.5,"$106,140",Doctoral or professional degree,None,None,
Web developers,15-1134,Line item,148.5,188.0,39.5,26.6,13.8,58.6,"$66,130",Associate's degree,None,None,
Forensic science technicians,19-4092,Line item,14.4,18.2,3.8,26.6,0.4,9.9,"$56,750",Bachelor's degree,None,Moderate-term on-the-job training,
Occupational therapists,29-1122,Line item,114.6,145.1,30.4,26.5,2.1,52.6,"$81,910",Master's degree,None,None,
Diagnostic medical sonographers,29-2032,Line item,60.7,76.7,16.0,26.4,0.9,27.5,"$69,650",Associate's degree,None,None,
